id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_clean,est_bookings_mo,occupancy_rate,projected_revenue
937607075619428046,Trendy WeHo Home  -  Near DT Nashville!,388056808,Grand Welcome Nashville,,District 17,36.148,-86.76219,Entire home/apt,191.0,1,19,2025-08-29,0.76,81,350,12,Permit # 2020043834,191.0,1.52,0.15200000000000002,870.9600000000002
937627796138768578,Retro Retreat w/ Cereal Bar Near DTN & BNA,230939573,Maria,,District 15,36.15166,-86.66049,Entire home/apt,63.0,1,82,2025-09-02,3.22,8,258,35,,63.0,6.44,0.644,1217.16
937645435360091478,Spacious Serene Studio w/ Cereal Bar! Near DTN/BNA,230939573,Maria,,District 15,36.15286,-86.66052,Entire home/apt,59.0,1,101,2025-09-14,4.03,8,347,49,,59.0,8.06,0.7,1239.0
937720398499090087,Dolly Diamond Luv*-Walk Downtown-Pool-Lux Lounges!,59393472,Megan,,District 19,36.1536594,-86.7751858,Entire home/apt,143.0,1,142,2025-09-21,5.55,1,343,65,,143.0,11.1,0.7,3003.0
937806596444596569,Cozy Retreat • Sleeps 2 • Pets Allowed • 8 Min BNA,484163143,James,,District 16,36.1261275,-86.726116,Entire home/apt,68.0,1,96,2025-09-19,3.63,21,163,37,,68.0,7.26,0.7,1428.0
938628388126424073,Spacious corner unit 2mi 2 Broadway w/free parking,510325186,Rob,,District 21,36.1802806,-86.8082057,Entire home/apt,88.0,1,59,2025-09-21,2.23,5,170,28,,88.0,4.46,0.44599999999999995,1177.4399999999998
939054540553813504,Coolest Home In East Nashville,45101594,Scarlett,,District 7,36.21423393703997,-86.72960799259035,Entire home/apt,94.0,2,52,2025-09-03,1.98,51,252,25,,94.0,3.96,0.39599999999999996,1116.7199999999998
939063698006104357,Rooftop 4 bd *Rock + Roll* Haven! 5 min -> DT!,526701034,Stay,,District 5,36.17756,-86.75758,Entire home/apt,271.0,1,123,2025-09-21,4.8,3,202,88,,271.0,9.6,0.7,5691.0
939162811174598657,"Cozy South Nashville Home 6'->BNA, 
10'->Broadway",402884648,Huy,,District 16,36.10747108839885,-86.72879285104753,Entire home/apt,152.0,1,35,2025-09-22,10.4,1,277,35,2025042513,152.0,20.8,0.7,3192.0
939879692045991179,2Br Private Space - Safe -Parking -Great Reviews!,499930994,Keith,,District 28,36.07402442966735,-86.65587142109871,Entire home/apt,93.0,3,46,2025-09-14,1.83,1,221,16,,93.0,3.66,0.366,1021.14
939961012400867016,Famous Music Row Presidential Suite 2 Bedrm/2 Bath,416033925,Amy,,District 19,36.1510541,-86.79209709999999,Entire home/apt,162.0,1,90,2025-09-14,3.44,90,318,27,,162.0,6.88,0.6880000000000001,3343.6800000000003
940005260983321587,"Bubbly Cowgirl: Pink chic Glam Bars, IG worthy",42672395,Vicky,,District 2,36.1939658,-86.77806389999999,Entire home/apt,182.0,1,68,2025-09-01,2.59,1,336,30,,182.0,5.18,0.518,2828.28
940524141552576546,The Florence | Art Deco Vibes | 2mi to Downtown,181761151,Serena,,District 5,36.18395278583776,-86.77274452645875,Entire home/apt,204.0,2,84,2025-09-22,3.2,2,337,40,,204.0,6.4,0.6400000000000001,3916.8000000000006
